Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage
366,"Feb 15, 2021",2.650,97.350,28362161,57238,70619,89497,9506676,498966,940,1456,2480
367,"Feb 16, 2021",2.640,97.360,28428526,66365,63474,84749,9447846,500776,1810,1290,2272
368,"Feb 17, 2021",2.640,97.360,28502514,73988,65864,81083,9402783,503312,2536,1762,2145
369,"Feb 18, 2021",2.630,97.370,28575046,72532,70962,75817,9365656,506068,2756,2367,2074
370,"Feb 19, 2021",2.630,97.370,28659628,84582,77034,72761,9347298,508713,2645,2646,2016
371,"Feb 20, 2021",2.630,97.370,28731385,71757,76290,70469,9313010,510636,1923,2441,1961
372,"Feb 21, 2021",2.630,97.370,28790365,58980,71773,69349,9305351,511875,1239,1936,1979
373,"Feb 22, 2021",2.610,97.390,28849516,59151,63296,69622,9222104,513252,1377,1513,2041
374,"Feb 23, 2021",2.610,97.390,28923316,73800,63977,70684,9181500,515687,2435,1684,2130
375,"Feb 24, 2021",2.610,97.390,28999119,75803,69585,70944,9140345,518212,2525,2112,2128
376,"Feb 25, 2021",2.610,97.390,29077310,78191,75931,71752,9115605,520671,2459,2473,2086
377,"Feb 26, 2021",2.610,97.390,29158578,81268,78421,71278,9098033,522942,2271,2418,2033
378,"Feb 27, 2021",2.600,97.400,29224232,65654,75037,70407,9066505,524496,1554,2095,1980
379,"Feb 28, 2021",2.600,97.400,29277865,53633,66852,69643,9057178,525784,1288,1704,1987
380,"Mar 01, 2021",2.590,97.410,29333063,55198,58162,69078,8999141,527267,1483,1442,2002
381,"Mar 02, 2021",2.590,97.410,29390666,57603,55478,66764,8959729,529355,2088,1620,1953
382,"Mar 03, 2021",2.590,97.410,29457881,67215,60005,65538,8922746,531724,2369,1980,1930
383,"Mar 04, 2021",2.590,97.410,29526518,68637,64485,64172,8898821,533771,2047,2168,1872
384,"Mar 05, 2021",2.590,97.410,29595724,69206,68353,62450,8876422,535607,1836,2084,1809
385,"Mar 06, 2021",2.580,97.420,29654658,58934,65592,61489,8843217,537125,1518,1800,1804
386,"Mar 07, 2021",2.580,97.420,29699536,44878,57673,60239,8824752,537840,715,1356,1722
387,"Mar 08, 2021",2.570,97.430,29744652,45116,49642,58798,8756390,538628,788,1007,1623
